Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,% All Children aged 0-15 - 2015,% All Working-age (16-64) - 2015,% All Older people aged 65+ - 2015,Mean Age - 2013,Median Age - 2013,Area - Square Kilometres,Population density (persons per sq km) - 2013,% BAME - 2011,% Not Born in UK - 2011,% English is First Language of no one in household - 2011,General Fertility Rate - 2013,Male life expectancy -2009-13,Female life expectancy -2009-13 ,% children in reception year who are obese - 2011/12 to 2013/14,% children in year 6 who are obese- 2011/12 to 2013/14,"Rate of All Ambulance Incidents per 1,000 population - 2014",Rates of ambulance call outs for alcohol related illness - 2014,Number Killed or Seriously Injured on the roads - 2014,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Number of jobs in area - 2013,Employment per head of resident WA population - 2013,Rate of new registrations of migrant workers - 2011/12,Median House Price (£) - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,% with Level 4 qualifications and above - 2011,A-Level Average Point Score Per Student - 2013/14,A-Level Average Point Score Per Entry; 2013/14,Crime rate - 2014/15,Violence against the person rate - 2014/15,"Deliberate Fires per 1,000 population - 2014",% area that is open space - 2014,Cars per household - 2011,Average Public Transport Accessibility score - 2014,% travel by bicycle to work - 2011,Turnout at Mayoral election - 2012
Bexley - Belvedere,00ADGB,E05000065,12400.0,2900.0,7950.0,1600.0,23.2,63.9,12.9,36.1,35.0,3.2,3828.1,28.4,20.4,5.1,70.6,78.1,86.9,11.8,28.4,122.4,0.6,0.0,5439.0,70.4,3800.0,0.5,18.5,179500.0,246.0,33510.0,4988.0,5.7,25.8,31.8,36.7,63.6,16.1,18.6,23.9,74.7,1.4,15.6,12.0,5.2,2.4,21.6,6.1,42.6,296.0,85.7,306.1,1.0,23.7,21.9,694.4,209.1,62.0,19.8,1.2,33.1,1.0,2.8,1.2,31.9
Bexley - Blackfen and Lamorbey,00ADGC,E05000066,10700.0,1950.0,6700.0,2050.0,18.3,62.6,19.1,40.5,42.0,1.7,6352.9,7.3,7.1,1.2,55.5,82.9,87.6,8.5,20.0,84.4,0.3,0.0,5157.0,77.3,1100.0,0.2,2.9,280000.0,182.0,40780.0,4233.0,7.0,50.4,34.7,7.9,86.7,3.8,8.1,3.0,91.1,5.9,7.0,2.9,2.7,1.1,7.2,2.0,26.7,588.0,0.0,332.8,0.8,22.4,19.3,750.3,212.2,28.8,6.9,0.2,9.5,1.3,2.1,1.4,35.9
Bexley - Blendon and Penhill,00ADGD,E05000067,11000.0,2000.0,6900.0,2150.0,18.0,62.6,19.5,40.5,41.0,2.1,5285.7,9.5,7.8,1.7,57.6,82.6,86.1,9.7,15.8,80.3,0.2,1.0,5336.0,78.2,1500.0,0.2,3.0,275000.0,208.0,40340.0,4335.0,8.9,46.8,34.2,10.1,88.5,2.6,8.1,3.0,83.5,13.5,6.7,3.0,2.4,0.8,5.7,2.2,28.4,596.0,0.0,340.1,0.7,21.5,19.6,725.5,207.9,37.7,7.6,0.3,13.8,1.4,2.1,1.2,38.7
Bexley - Brampton,00ADGE,E05000068,10600.0,1750.0,6350.0,2450.0,16.6,60.1,23.3,43.2,45.0,2.0,5350.0,13.1,10.4,1.6,54.4,82.9,87.0,6.1,23.7,96.5,0.5,1.0,4995.0,76.6,1700.0,0.3,4.6,315000.0,146.0,40790.0,4232.0,6.6,73.0,10.8,9.7,88.9,4.4,5.7,5.0,88.1,6.9,7.6,2.9,2.4,0.9,5.6,1.9,34.1,595.0,14.3,325.4,0.5,22.9,20.7,688.4,208.2,26.3,6.3,0.0,9.1,1.3,2.7,1.1,41.2
Bexley - Christchurch,00ADGF,E05000069,11350.0,2050.0,7200.0,2100.0,18.1,63.3,18.6,40.6,41.0,2.5,4500.0,13.4,11.5,2.3,62.3,80.4,82.8,11.8,14.2,162.3,1.4,2.0,5368.0,77.0,8800.0,1.2,7.2,275000.0,197.0,40190.0,4568.0,12.9,46.9,18.2,22.0,80.7,3.9,14.2,5.8,83.4,10.8,9.0,5.0,2.7,1.7,12.7,2.8,33.5,527.0,14.3,342.9,0.8,21.0,24.9,707.2,205.7,97.5,28.5,0.4,17.3,1.2,3.4,0.9,34.9
Bexley - Colyers,00ADGG,E05000070,11400.0,2550.0,7150.0,1700.0,22.3,62.7,15.0,37.3,36.0,1.6,7093.8,17.7,12.3,2.0,60.0,78.3,84.7,11.1,26.6,111.8,0.4,0.0,4951.0,70.2,800.0,0.1,9.2,247000.0,131.0,34450.0,4515.0,4.3,50.7,17.7,27.2,61.5,29.4,7.0,18.4,79.9,1.7,13.7,9.7,5.3,2.3,17.2,7.2,51.9,294.0,57.1,298.3,1.0,25.1,18.1,647.2,209.4,39.5,13.2,0.3,13.0,1.1,2.0,1.1,28.0
Bexley - Crayford,00ADGH,E05000071,11950.0,2500.0,7700.0,1750.0,20.9,64.6,14.6,37.7,37.0,4.0,2925.0,11.7,10.0,1.9,69.6,79.5,84.1,10.1,19.6,118.0,0.4,2.0,5236.0,73.2,7300.0,1.0,6.0,231500.0,264.0,34900.0,4840.0,5.6,40.9,29.2,24.3,65.6,21.8,10.5,24.8,75.0,0.2,14.7,10.5,4.8,2.0,16.4,4.8,42.1,348.0,71.4,301.4,1.2,25.3,18.6,705.3,210.7,62.2,17.1,0.8,41.7,1.1,2.1,1.0,30.5
Bexley - Cray Meadows,00ADGJ,E05000072,11350.0,2350.0,6950.0,2000.0,20.8,61.5,17.7,39.4,39.0,7.2,1583.3,11.0,9.9,2.3,70.0,79.8,83.6,14.0,25.4,132.7,0.6,1.0,4952.0,71.4,7200.0,1.0,3.6,285000.0,175.0,35530.0,4810.0,6.5,44.4,17.6,31.3,65.7,22.8,9.3,14.5,77.6,7.9,14.7,11.2,5.6,1.8,19.5,5.5,49.3,345.0,57.1,324.9,1.0,25.1,22.2,735.7,211.3,54.3,16.4,0.5,61.7,1.2,2.3,1.5,31.6
Bexley - Danson Park,00ADGK,E05000073,11000.0,2000.0,7000.0,1950.0,18.3,63.8,18.0,40.2,40.0,2.7,4092.6,16.2,13.2,3.1,55.8,81.2,83.1,11.5,22.9,125.6,0.7,0.0,5217.0,75.0,2800.0,0.4,4.9,265750.0,158.0,38580.0,4565.0,9.1,46.4,22.8,21.7,77.9,8.9,11.2,8.3,82.8,8.9,9.1,6.1,3.3,1.2,11.8,3.4,34.5,523.0,14.3,337.0,1.0,23.0,21.6,728.7,209.1,54.0,15.7,0.6,36.4,1.2,2.9,1.1,34.2
Bexley - East Wickham,00ADGL,E05000074,11000.0,2000.0,6850.0,2100.0,18.4,62.4,19.2,40.5,41.0,2.2,5022.7,16.9,13.4,3.2,51.9,81.3,84.7,10.9,23.0,118.1,0.5,1.0,5028.0,73.5,1300.0,0.2,14.6,259497.5,150.0,36260.0,4309.0,3.1,59.3,21.6,16.0,76.5,12.6,9.5,8.9,88.6,2.5,10.5,7.0,3.9,1.5,14.8,3.4,34.6,448.0,42.9,331.9,0.9,26.4,18.8,691.1,208.0,40.5,12.6,0.5,26.8,1.2,2.5,1.2,32.2
Bexley - Erith,00ADGM,E05000075,12800.0,3200.0,8100.0,1500.0,25.1,63.3,11.6,34.9,33.0,4.8,2614.6,31.4,23.1,5.6,74.6,79.2,84.8,13.4,29.9,140.1,0.6,1.0,5266.0,67.6,6000.0,0.8,24.5,181000.0,171.0,33160.0,5093.0,6.8,19.9,29.2,44.0,55.1,20.2,20.5,27.8,69.8,2.5,15.8,14.6,6.1,2.9,20.1,8.3,53.7,283.0,85.7,312.2,1.2,23.6,22.6,627.7,200.0,82.3,22.2,1.6,44.6,1.0,2.6,1.0,27.0
Bexley - Falconwood and Welling,00ADGN,E05000076,10950.0,2000.0,7100.0,1800.0,18.2,65.2,16.7,39.6,40.0,1.7,6470.6,15.4,12.4,2.6,50.7,80.3,86.2,10.4,24.9,73.7,0.4,2.0,5362.0,76.2,1800.0,0.3,9.7,280000.0,180.0,39000.0,4251.0,3.0,58.0,29.5,9.5,88.0,1.1,9.5,3.8,93.4,2.8,6.6,2.8,2.3,1.1,6.0,2.3,27.2,577.0,14.3,335.6,0.8,22.1,19.6,691.5,205.0,47.7,13.2,0.3,0.7,1.3,2.4,1.1,35.8
Bexley - Lesnes Abbey,00ADGP,E05000077,11450.0,2300.0,7250.0,1900.0,20.3,63.3,16.5,38.8,39.0,2.4,4791.7,31.0,23.3,5.0,63.0,81.7,84.0,13.3,22.4,102.0,0.4,1.0,5023.0,69.7,700.0,0.1,19.4,257500.0,156.0,35630.0,4566.0,7.1,40.6,25.9,26.4,67.1,21.0,10.3,29.8,67.5,2.6,12.2,9.6,4.2,2.2,16.4,5.1,40.8,380.0,57.1,303.0,0.8,23.8,22.5,691.8,203.4,59.8,14.1,1.5,37.0,1.1,2.8,1.1,32.9
Bexley - Longlands,00ADGQ,E05000078,10600.0,1750.0,6600.0,2250.0,16.4,62.4,21.2,42.2,42.0,2.6,4096.2,9.4,9.9,2.1,53.8,81.4,82.1,8.2,17.4,254.7,0.6,3.0,4882.0,75.4,3600.0,0.5,5.5,250000.0,240.0,40880.0,4617.0,9.4,39.4,11.8,39.5,75.0,13.2,10.7,9.3,75.9,14.8,7.9,5.8,2.7,1.2,10.8,2.3,37.2,549.0,16.7,348.7,0.7,20.9,27.1,712.1,210.9,34.2,9.7,0.3,28.9,1.2,2.7,1.3,38.0
Bexley - North End,00ADGR,E05000079,11850.0,3150.0,7450.0,1250.0,26.7,62.7,10.6,33.6,32.0,5.7,2070.2,27.0,18.8,3.3,78.2,75.6,81.9,15.2,22.8,134.4,0.7,1.0,4584.0,63.3,3700.0,0.5,15.0,204497.5,244.0,29930.0,4723.0,2.9,27.5,36.4,33.1,46.9,37.4,14.3,29.9,70.1,0.0,21.4,19.3,6.2,3.9,28.5,11.1,53.7,164.0,85.7,285.7,1.4,28.8,19.5,637.5,204.0,81.2,27.2,2.4,65.3,0.9,2.6,1.3,25.6
Bexley - Northumberland Heath,00ADGS,E05000080,10700.0,2100.0,6800.0,1800.0,19.5,63.6,16.9,39.2,40.0,1.8,5972.2,14.5,9.8,1.9,63.8,79.5,86.1,11.0,22.5,91.6,0.6,0.0,5016.0,73.6,1800.0,0.3,5.0,250000.0,137.0,37130.0,4126.0,4.5,56.1,29.0,10.4,80.3,9.3,8.9,10.1,88.1,1.9,11.2,6.6,3.8,1.8,14.7,4.2,40.1,486.0,28.6,324.8,0.9,23.3,17.8,668.7,211.8,42.1,12.0,0.7,13.6,1.3,2.1,1.2,34.6
Bexley - St. Mary's,00ADGT,E05000081,10550.0,1850.0,6300.0,2350.0,17.7,59.9,22.4,42.4,43.0,4.4,2420.5,8.4,8.1,1.1,57.8,81.8,88.2,8.7,14.4,113.6,0.6,3.0,4934.0,77.3,2000.0,0.3,3.9,315000.0,183.0,44010.0,4390.0,23.2,38.2,26.2,12.3,85.7,4.1,9.1,3.9,71.3,24.8,6.4,3.0,9.7,0.8,4.6,1.7,29.9,607.0,14.3,358.7,0.5,18.9,27.0,762.7,214.7,33.2,7.9,0.6,46.8,1.4,2.6,1.2,42.0
Bexley - St. Michael's,00ADGU,E05000082,11250.0,2300.0,7200.0,1750.0,20.4,64.0,15.6,38.2,39.0,1.4,8071.4,17.3,11.6,2.4,52.9,80.5,84.9,9.1,22.0,71.4,0.3,3.0,5423.0,75.9,1100.0,0.2,6.4,280000.0,161.0,38510.0,4073.0,1.8,82.3,8.2,7.7,85.8,7.0,6.1,5.9,92.6,1.5,8.7,4.1,2.9,1.2,8.5,3.2,32.0,545.0,28.6,327.2,0.7,21.8,19.1,730.2,215.0,30.0,11.3,0.0,5.9,1.4,2.2,1.1,34.5
Bexley - Sidcup,00ADGW,E05000083,11000.0,1750.0,7050.0,2200.0,15.9,64.2,19.9,41.8,42.0,2.7,4092.6,10.1,10.6,2.2,52.1,80.0,82.9,10.4,18.4,140.7,0.4,1.0,5150.0,74.0,6000.0,0.9,7.5,280000.0,212.0,41220.0,4651.0,14.0,31.8,19.0,35.3,74.7,6.7,16.6,8.3,67.3,24.4,6.4,4.9,2.1,1.3,7.1,2.2,31.4,593.0,0.0,347.7,0.7,19.1,27.2,779.7,223.1,50.5,14.8,0.2,25.8,1.2,3.2,1.2,40.9
Bexley - Thamesmead East,00ADGX,E05000084,12550.0,3500.0,8100.0,950.0,27.8,64.8,7.4,32.0,32.0,4.8,2583.3,52.7,38.1,7.6,77.6,78.3,81.7,17.1,28.0,93.9,0.5,1.0,4997.0,62.6,4100.0,0.5,43.0,190000.0,91.0,32100.0,4925.0,3.1,13.1,40.4,43.3,41.0,38.4,19.0,56.3,43.7,0.0,15.7,17.9,5.6,3.7,19.5,9.4,46.5,257.0,100.0,304.6,1.0,20.8,28.2,707.1,205.6,54.9,19.7,0.7,70.5,0.8,2.6,1.3,27.7
Brent - Alperton,00AEGJ,E05000085,15300.0,3050.0,10750.0,1550.0,19.8,70.1,10.1,35.3,33.0,2.1,7047.6,81.8,66.8,32.3,90.1,80.8,84.3,8.3,18.8,96.4,0.4,3.0,6753.0,67.4,9000.0,0.9,89.1,249950.0,103.0,31250.0,4444.0,6.1,23.8,32.0,37.8,55.6,12.1,29.6,13.3,86.3,0.4,10.1,10.1,3.3,2.0,11.4,5.0,47.5,321.0,100.0,318.6,1.2,22.1,26.2,659.1,206.0,69.1,21.2,0.3,17.7,0.9,3.0,1.7,37.0
Brent - Barnhill,00AEGK,E05000086,16250.0,3400.0,10850.0,2000.0,20.9,66.7,12.4,35.8,33.0,3.0,5366.7,69.7,56.5,22.9,82.2,77.9,80.8,10.8,25.1,124.5,0.5,1.0,6768.0,64.2,3700.0,0.3,73.2,333000.0,159.0,34630.0,5546.0,17.0,27.8,9.6,45.5,43.6,26.6,26.2,18.1,61.8,20.1,16.9,14.5,4.8,2.7,16.9,6.5,44.5,186.0,77.8,321.6,1.0,18.1,34.7,697.3,211.1,64.7,21.4,0.1,31.6,1.0,3.0,0.5,36.0
Brent - Brondesbury Park,00AEGL,E05000087,13300.0,2350.0,9250.0,1700.0,17.8,69.6,12.6,37.0,34.0,1.7,7794.1,43.8,47.2,16.2,48.2,82.4,85.7,8.3,22.9,120.5,0.3,4.0,6646.0,71.8,2000.0,0.2,88.6,465000.0,196.0,40020.0,5528.0,8.4,16.6,6.8,68.2,44.3,21.5,32.0,6.4,73.2,20.4,12.6,13.4,3.9,2.3,12.2,3.8,42.2,286.0,75.0,354.6,1.1,15.9,45.0,689.6,213.0,70.8,16.1,0.5,9.7,0.7,3.8,4.8,33.1
Brent - Dollis Hill,00AEGM,E05000088,13650.0,3300.0,8700.0,1650.0,24.1,63.7,12.2,34.8,32.0,2.3,5934.8,64.3,54.5,22.0,64.7,82.3,88.7,13.2,21.9,115.9,0.3,6.0,5254.0,61.5,6000.0,0.7,58.6,306000.0,135.0,30990.0,4357.0,7.3,30.1,27.5,35.2,51.7,22.1,23.5,6.2,88.4,5.5,17.6,16.1,5.3,3.8,17.8,9.2,52.5,211.0,100.0,298.1,1.2,24.4,25.1,659.3,205.3,67.3,22.8,0.2,26.6,0.9,2.9,1.5,31.9
Brent - Dudden Hill,00AEGN,E05000089,15750.0,3350.0,10750.0,1700.0,21.2,68.1,10.7,34.7,32.0,1.7,9117.6,55.9,56.2,23.8,63.2,83.9,85.5,15.6,26.7,118.0,0.9,5.0,6936.0,65.9,3700.0,0.3,96.9,495000.0,135.0,33470.0,5324.0,4.8,29.5,21.6,44.0,43.7,19.9,34.2,13.7,78.9,7.4,17.7,16.5,4.7,4.1,17.0,8.0,51.1,189.0,100.0,311.5,1.0,19.8,31.7,692.3,205.6,88.2,30.2,0.3,11.6,0.8,3.4,3.2,35.4
Brent - Fryent,00AEGP,E05000090,14150.0,2900.0,9450.0,1800.0,20.5,66.8,12.7,36.0,34.0,2.7,5129.6,62.7,55.9,21.9,69.0,80.7,83.9,10.5,21.2,116.5,0.5,4.0,6015.0,66.5,4300.0,0.5,69.1,263750.0,106.0,35590.0,4503.0,5.3,44.4,12.9,37.4,57.1,13.9,26.8,4.6,88.4,7.0,9.9,9.9,3.1,1.6,9.0,4.9,45.7,311.0,87.5,327.0,0.8,20.3,29.0,650.4,207.8,58.4,18.1,0.4,39.3,1.1,2.8,1.1,32.2
Brent - Harlesden,00AEGQ,E05000091,17500.0,4750.0,11150.0,1550.0,27.3,63.8,9.0,33.0,32.0,1.1,15772.7,67.0,52.9,23.0,85.0,78.1,82.9,15.8,29.3,128.1,1.0,6.0,6738.0,59.3,2200.0,0.2,92.2,305500.0,184.0,27030.0,6785.0,4.0,8.6,15.8,71.4,21.8,44.0,30.7,30.4,68.8,0.9,28.8,30.0,8.3,8.5,25.5,11.0,46.7,27.0,100.0,304.9,1.4,24.1,21.4,636.8,205.7,100.3,37.9,0.2,8.9,0.5,3.8,3.5,30.4
Brent - Kensal Green,00AEGR,E05000092,15050.0,3200.0,10350.0,1550.0,21.1,68.7,10.2,35.4,35.0,1.1,13681.8,52.3,50.2,21.9,74.1,79.7,90.0,11.6,27.1,120.4,1.1,6.0,7330.0,68.8,2000.0,0.2,116.1,500000.0,149.0,34640.0,6184.0,2.8,10.1,23.4,63.6,36.1,26.7,34.7,24.4,73.8,1.8,20.6,19.9,5.8,5.8,19.0,6.7,47.4,126.0,100.0,307.6,1.1,19.7,33.8,658.4,209.7,86.6,31.8,0.0,6.9,0.6,4.1,5.4,31.8
Brent - Kenton,00AEGS,E05000093,12550.0,2050.0,8150.0,2350.0,16.2,65.0,18.8,40.2,37.0,2.3,5413.0,70.0,53.9,19.6,62.0,83.3,91.6,5.8,21.6,100.4,0.5,2.0,5637.0,70.3,2900.0,0.4,37.0,440000.0,107.0,42190.0,3953.0,18.1,57.0,4.3,20.5,73.4,5.6,19.3,1.7,63.6,34.7,7.8,4.7,2.1,1.6,6.0,2.8,37.0,440.0,37.5,357.2,0.8,17.3,39.8,743.0,216.8,51.3,11.1,0.4,17.0,1.4,2.7,0.7,34.9
Brent - Kilburn,00AEGT,E05000094,17550.0,3400.0,12500.0,1650.0,19.5,71.1,9.4,34.6,33.0,0.9,19333.3,50.0,48.1,18.4,59.6,80.1,86.0,11.9,25.8,131.0,0.9,4.0,8518.0,68.9,3000.0,0.2,74.9,444631.5,216.0,34270.0,7840.0,1.1,2.5,10.2,86.1,24.0,45.0,28.8,30.8,65.5,3.6,20.1,19.5,5.9,4.7,22.5,5.8,47.1,39.0,100.0,319.2,1.0,17.1,39.9,614.8,203.3,79.3,27.1,0.2,11.1,0.4,5.5,5.8,32.8
Brent - Mapesbury,00AEGU,E05000095,16000.0,2750.0,11750.0,1500.0,17.2,73.4,9.4,35.0,33.0,1.4,11357.1,43.4,52.3,21.3,63.1,78.7,84.5,13.7,21.6,116.2,0.8,10.0,8290.0,70.6,2200.0,0.2,122.6,450000.0,189.0,36830.0,6496.0,5.9,11.3,7.9,75.0,34.4,19.2,44.8,18.4,67.9,13.6,16.1,15.8,5.1,3.9,15.3,4.6,44.9,213.0,100.0,314.1,1.2,14.5,43.7,682.8,215.4,71.8,21.3,0.4,9.6,0.6,4.5,3.5,33.6
Brent - Northwick Park,00AEGW,E05000096,13300.0,2150.0,9350.0,1800.0,16.0,70.3,13.7,37.3,34.0,2.7,4888.9,68.8,53.3,19.8,54.6,80.7,84.9,11.5,20.9,121.8,0.5,2.0,6055.0,67.4,6700.0,0.7,43.3,470000.0,85.0,41100.0,4316.0,15.0,46.3,6.3,32.4,62.0,16.2,19.2,3.0,71.4,25.6,8.8,6.0,2.3,1.7,9.2,2.9,36.7,396.0,50.0,345.7,0.7,13.4,40.3,708.3,221.1,64.7,19.2,0.2,32.0,1.3,2.7,1.0,29.7
Brent - Preston,00AEGX,E05000097,15750.0,3300.0,10400.0,2050.0,20.8,66.2,13.0,35.9,33.0,2.4,6541.7,70.0,57.3,22.8,68.6,80.0,85.4,13.0,23.8,106.8,0.7,2.0,6964.0,67.0,3900.0,0.4,76.0,350000.0,131.0,35960.0,5118.0,6.9,45.2,9.6,38.3,54.6,12.6,29.2,4.4,82.4,13.2,12.2,9.9,3.6,2.4,13.2,5.4,41.2,330.0,88.9,339.1,1.1,17.5,35.4,718.8,215.2,57.9,17.1,0.1,19.2,1.0,3.4,1.1,31.3
Brent - Queens Park,00AEGY,E05000098,15500.0,3200.0,10750.0,1550.0,20.5,69.6,9.9,35.6,35.0,1.5,10300.0,37.0,41.9,14.4,62.8,80.0,89.5,9.9,17.4,102.0,0.7,7.0,8501.0,75.8,5100.0,0.5,66.1,677500.0,198.0,42880.0,6446.0,1.8,8.1,26.7,63.4,44.2,19.9,33.9,7.2,75.0,17.8,13.5,10.9,4.2,2.6,12.3,4.2,39.4,267.0,100.0,345.8,0.9,13.3,48.2,743.0,217.6,72.9,19.4,0.1,19.0,0.7,5.0,7.4,35.5
Brent - Queensbury,00AEGZ,E05000099,16800.0,3350.0,11400.0,2100.0,19.8,67.8,12.4,36.2,33.0,2.0,8050.0,72.9,57.7,24.1,64.8,81.7,83.1,10.7,21.5,100.7,0.4,4.0,6945.0,67.7,4600.0,0.4,52.8,366000.0,109.0,35110.0,4810.0,5.6,45.4,23.0,26.1,59.4,15.3,21.6,3.1,92.8,4.1,10.5,8.5,3.3,1.9,10.3,5.4,51.9,343.0,87.5,332.0,0.8,21.4,30.8,742.9,219.8,65.0,17.1,0.2,13.7,1.2,3.0,0.5,32.6
Brent - Stonebridge,00AEHA,E05000100,17600.0,4700.0,11350.0,1600.0,26.7,64.4,9.0,32.2,29.0,4.1,4231.7,76.5,48.8,17.2,74.9,76.2,82.3,17.0,26.5,207.8,0.9,9.0,5789.0,54.2,19800.0,1.8,33.8,249950.0,63.0,25800.0,6021.0,5.3,15.3,24.1,55.1,18.1,62.3,15.1,30.5,69.1,0.5,28.8,30.3,8.0,8.1,25.6,13.2,50.0,4.0,100.0,298.6,1.5,25.9,20.5,654.9,206.2,116.0,39.5,0.1,16.2,0.6,3.2,2.0,31.3
Brent - Sudbury,00AEHB,E05000101,15250.0,3250.0,10350.0,1700.0,21.1,67.8,11.1,35.1,33.0,2.1,7238.1,77.3,62.2,28.4,78.8,78.7,84.1,10.6,25.9,102.5,0.8,3.0,6931.0,67.4,2700.0,0.3,83.6,249950.0,91.0,33530.0,4944.0,9.9,25.0,20.8,44.3,50.5,15.0,32.6,6.4,89.2,4.4,12.0,11.9,3.6,2.3,11.8,5.1,42.0,276.0,100.0,331.2,1.0,18.1,32.3,687.0,210.0,51.5,18.1,0.0,34.6,0.9,3.3,1.1,32.4
Brent - Tokyngton,00AEHC,E05000102,18900.0,3800.0,13300.0,1850.0,20.0,70.3,9.7,34.9,32.0,2.8,6160.7,76.3,62.9,26.6,64.2,78.1,84.2,13.1,27.2,126.4,1.0,3.0,7164.0,67.5,16000.0,1.3,110.7,322500.0,94.0,33130.0,5051.0,4.5,37.5,16.1,41.9,50.0,12.0,33.7,21.2,76.0,2.8,12.6,9.1,2.8,2.1,11.6,4.8,44.1,324.0,100.0,310.8,1.1,19.4,31.9,682.8,211.4,82.8,21.3,0.2,19.8,0.9,3.5,1.2,30.2
Brent - Welsh Harp,00AEHD,E05000103,14000.0,3000.0,9300.0,1700.0,21.5,66.4,12.1,35.8,34.0,2.3,6065.2,61.3,55.0,22.9,70.5,80.1,85.6,11.2,26.6,116.6,0.4,2.0,5999.0,64.9,1900.0,0.2,65.2,292475.0,118.0,31620.0,4923.0,7.0,30.5,23.3,39.2,49.9,19.2,28.1,7.8,88.4,3.8,15.6,15.0,4.9,3.2,16.4,6.6,41.6,212.0,100.0,315.7,1.2,22.6,24.7,666.9,212.9,62.9,21.1,0.2,34.0,0.9,2.8,1.2,32.0
Brent - Wembley Central,00AEHE,E05000104,16150.0,3100.0,11350.0,1700.0,19.1,70.3,10.6,35.6,33.0,1.6,9718.8,86.0,68.5,32.9,88.8,81.8,85.1,9.2,20.4,143.6,1.6,7.0,6963.0,65.6,6100.0,0.6,119.4,250000.0,118.0,31040.0,4540.0,6.7,28.2,19.8,45.2,47.2,15.6,33.5,11.2,86.1,2.7,12.4,11.0,3.5,2.6,13.0,4.5,44.3,223.0,100.0,305.7,1.0,20.7,29.0,731.0,220.3,118.3,39.5,0.1,20.1,0.8,4.9,1.2,30.4
Brent - Willesden Green,00AEHF,E05000105,15950.0,3050.0,11600.0,1300.0,19.1,72.7,8.2,33.7,32.0,1.5,10600.0,52.7,56.3,25.9,55.9,77.8,83.0,15.0,26.7,134.4,1.0,0.0,7834.0,68.6,3700.0,0.3,117.0,409500.0,147.0,31390.0,6213.0,3.3,7.1,16.1,73.3,25.4,26.8,43.2,13.5,85.6,1.0,22.0,21.2,5.7,4.4,19.3,6.9,45.5,94.0,100.0,296.7,1.2,18.5,33.3,614.7,203.3,94.9,33.8,0.2,36.8,0.5,4.6,3.1,30.7
Bromley - Bickley,00AFGD,E05000106,15450.0,3000.0,9300.0,3150.0,19.4,60.3,20.4,41.8,43.0,4.9,3132.7,14.5,15.7,2.7,57.9,80.0,83.2,7.3,12.5,128.8,0.4,4.0,7004.0,76.0,4300.0,0.5,6.9,480000.0,315.0,47190.0,6173.0,37.0,21.5,17.8,23.7,80.2,7.0,11.4,3.1,49.4,47.5,5.9,4.0,2.3,1.0,5.2,2.1,35.6,594.0,0.0,359.3,0.6,14.5,40.7,803.2,217.3,36.5,7.1,0.4,21.5,1.4,2.4,1.3,33.2
Bromley - Biggin Hill,00AFGE,E05000107,10250.0,1850.0,6400.0,2000.0,18.0,62.4,19.6,40.9,42.0,8.3,1222.9,4.1,5.1,0.5,61.6,82.8,86.3,8.0,14.1,71.8,0.4,2.0,5104.0,79.2,2600.0,0.4,0.7,269950.0,197.0,40930.0,4032.0,36.8,27.3,22.8,13.0,88.0,4.6,5.7,1.2,82.1,16.7,6.9,3.3,2.3,0.7,8.4,2.2,26.5,591.0,0.0,311.6,1.0,18.3,23.0,699.1,209.3,44.8,12.7,0.4,72.7,1.7,1.8,0.5,32.8
Bromley - Bromley Common and Keston,00AFGF,E05000108,16250.0,3350.0,10100.0,2800.0,20.7,62.2,17.1,39.6,40.0,8.3,1897.6,12.8,12.1,1.9,64.4,81.3,85.1,10.5,17.8,121.9,0.5,2.0,6930.0,73.2,5600.0,0.6,4.6,350000.0,375.0,40510.0,6509.0,20.4,33.3,26.1,20.3,73.1,15.7,9.5,4.1,72.2,23.7,10.2,7.6,3.7,1.3,11.2,4.5,40.4,463.0,44.4,341.7,0.8,20.5,28.3,735.3,213.6,53.0,19.2,0.4,58.6,1.3,2.3,1.5,31.2
